PassengerId,CryoSleep,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,HP_Europa,HP_Mars,D_PSO J318.5-22,D_TRAPPIST-1e,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Side_P,Side_S,Transported
0001_01,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0002_01,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
0003_01,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
0003_02,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
0004_01,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
0005_01,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
0006_01,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
0006_02,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
0007_01,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
0008_01,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
0008_02,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1
0008_03,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
0009_01,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1
0010_01,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
0011_01,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
0012_01,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0014_01,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
0015_01,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0016_01,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1
0017_01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
0017_02,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0020_01,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
0020_02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0020_03,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0020_04,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
0020_05,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
0020_06,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
0022_01,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
0024_01,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1
0025_01,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0026_01,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0028_01,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
0030_01,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
0031_01,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1
0031_02,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1
0031_03,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1
0034_01,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
0035_01,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
0038_01,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0039_01,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0041_01,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
0043_01,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0044_01,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
0044_02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
0044_03,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
0045_01,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
0045_02,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
0050_01,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0051_01,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
0053_01,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
0056_01,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1
0056_02,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1
0056_03,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1
0058_01,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
0061_01,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0062_01,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0064_01,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
0064_02,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
0066_01,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
0067_01,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
0067_02,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
0067_03,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0069_01,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
0070_01,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
0071_01,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
0072_01,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0073_01,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
0074_01,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1
0076_01,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
0077_01,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1
0078_01,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
0081_01,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
0082_01,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
0082_02,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1
0082_03,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1
0084_01,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
0085_01,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1
0086_01,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
0088_01,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1
0090_01,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
0091_01,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
0091_02,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0092_01,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
0092_02,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
0092_03,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
0097_01,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
0098_01,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
0098_02,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
0099_01,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
0101_01,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0102_01,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0103_01,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
0103_02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
0103_03,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
0107_01,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
0108_01,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
0108_02,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
0110_01,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0110_03,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1
0110_04,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1
0111_01,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1
0112_01,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
0113_01,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
0114_01,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
0116_01,0,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1
0119_01,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
0119_02,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1
0120_01,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1
0122_01,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
0123_01,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
0126_01,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
0127_01,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
0128_01,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
0128_02,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
0129_01,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
0133_01,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
0133_02,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
0134_01,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
0136_01,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
0138_01,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
0138_02,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0139_01,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
0140_01,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
0140_02,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
0141_01,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
0144_01,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
0146_01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
0147_01,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
0148_01,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
0151_01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0152_01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0160_01,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
0163_01,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1
0163_02,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1
0164_01,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
0164_02,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
0167_01,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
0167_02,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
0169_01,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
0170_01,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
0171_01,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
0172_01,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
0174_01,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0177_01,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
0178_01,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
0179_01,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
0179_02,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
0179_03,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
0181_01,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
0182_01,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1
0183_01,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
0186_01,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
0188_01,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
0189_01,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0190_01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0192_01,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
0192_02,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
